TP9,AF7,AF8,TP10
31.73828125,-1000.0,-1000.0,-53.7109375
283.69140625,-92.7734375,279.78515625,52.24609375
342.28515625,999.51171875,999.51171875,67.87109375
178.7109375,999.51171875,999.51171875,-24.4140625
49.31640625,206.0546875,157.71484375,-98.14453125
49.8046875,-1000.0,-1000.0,-102.05078125
312.98828125,43.45703125,135.7421875,16.6015625
660.15625,999.51171875,999.51171875,70.80078125
672.8515625,999.51171875,999.51171875,-13.18359375
392.08984375,259.27734375,231.4453125,-100.09765625
214.35546875,-1000.0,-1000.0,-121.58203125
273.4375,-318.84765625,-159.1796875,-5.859375
26.3671875,961.42578125,999.51171875,77.1484375
-472.65625,999.51171875,999.51171875,7.32421875
-883.30078125,220.703125,216.796875,-112.3046875
-492.1875,-1000.0,-1000.0,-131.34765625
51.7578125,-537.109375,-227.05078125,-16.6015625
-265.625,846.19140625,993.65234375,69.82421875
-541.015625,999.51171875,999.51171875,3.41796875
-606.93359375,173.828125,219.7265625,-119.140625
-594.7265625,-1000.0,-1000.0,-155.2734375
-304.19921875,-939.453125,-435.05859375,-55.6640625
-12.6953125,328.125,894.04296875,48.828125
-48.828125,999.51171875,999.51171875,-8.7890625
-156.73828125,326.171875,210.9375,-120.1171875
-152.83203125,-976.07421875,-1000.0,-145.5078125
-151.85546875,-1000.0,-706.54296875,-65.91796875
-302.24609375,164.55078125,645.01953125,26.3671875
-468.75,999.51171875,999.51171875,3.41796875
-593.26171875,837.890625,262.20703125,-106.93359375
-629.8828125,-404.296875,-1000.0,-171.38671875
-520.99609375,-1000.0,-985.83984375,-85.9375
-341.796875,-199.21875,261.71875,36.62109375
-289.0625,999.51171875,999.51171875,14.6484375
-139.6484375,591.796875,263.18359375,-91.796875
-131.8359375,-792.96875,-986.328125,-140.625
-121.09375,-1000.0,-1000.0,-86.9140625
183.10546875,-207.51953125,4.8828125,19.04296875
-4.39453125,999.51171875,999.51171875,38.0859375
-410.64453125,771.484375,416.9921875,-79.58984375
-619.140625,-583.984375,-890.625,-177.24609375
-53.7109375,-1000.0,-1000.0,-124.0234375
637.20703125,-165.0390625,-139.16015625,18.06640625
264.6484375,993.1640625,999.51171875,41.015625
-176.26953125,999.51171875,609.86328125,-54.6875
-254.8828125,-55.17578125,-726.5625,-124.0234375
-301.26953125,-1000.0,-1000.0,-99.609375
-8.30078125,-221.19140625,-206.0546875,21.97265625
243.1640625,970.703125,999.51171875,53.7109375
13.18359375,999.51171875,799.31640625,-34.1796875
-214.35546875,163.0859375,-506.34765625,-107.421875
-335.9375,-1000.0,-1000.0,-98.6328125
-229.98046875,-333.984375,-242.67578125,16.6015625
-182.12890625,946.77734375,999.51171875,65.4296875
-312.5,999.51171875,972.16796875,-15.625
-390.13671875,184.5703125,-222.16796875,-93.26171875
