TP9,AF7,AF8,TP10
-590.8203125,-1000.0,-1000.0,-13.18359375
-128.90625,-695.3125,-384.765625,33.203125
451.171875,652.34375,898.92578125,53.7109375
366.2109375,999.51171875,999.51171875,14.16015625
-236.328125,177.24609375,117.1875,-40.52734375
-601.07421875,-1000.0,-1000.0,-41.015625
-216.796875,-843.75,-589.35546875,13.671875
398.4375,501.46484375,768.06640625,49.8046875
432.6171875,999.51171875,999.51171875,30.76171875
-158.203125,149.4140625,160.15625,-30.2734375
-613.28125,-1000.0,-1000.0,-48.828125
-310.05859375,-1000.0,-826.66015625,-7.32421875
333.0078125,166.50390625,500.0,38.57421875
453.61328125,999.51171875,999.51171875,28.80859375
-94.7265625,301.7578125,169.43359375,-25.390625
-587.890625,-992.67578125,-1000.0,-61.03515625
-375.0,-1000.0,-995.1171875,-59.5703125
276.85546875,121.58203125,227.5390625,-34.1796875
482.91015625,999.51171875,999.51171875,-28.80859375
-20.99609375,378.41796875,232.421875,-71.2890625
-554.19921875,-906.73828125,-991.2109375,-84.47265625
-441.40625,-1000.0,-1000.0,-59.5703125
195.3125,-225.09765625,-55.6640625,-33.203125
499.51171875,999.51171875,999.51171875,-40.0390625
66.89453125,600.09765625,386.23046875,-79.58984375
-525.87890625,-787.109375,-921.38671875,-92.28515625
-515.13671875,-1000.0,-1000.0,-56.15234375
133.7890625,-165.52734375,-179.6875,1.46484375
514.6484375,966.796875,999.51171875,19.53125
166.015625,999.51171875,747.55859375,-48.33984375
-449.21875,136.23046875,-592.28515625,-103.515625
-558.59375,-1000.0,-1000.0,-47.8515625
56.640625,-249.51171875,-196.77734375,19.53125
499.0234375,999.51171875,999.51171875,30.2734375
224.12109375,999.51171875,879.39453125,-28.3203125
-391.11328125,-44.921875,-401.85546875,-88.8671875
-593.75,-1000.0,-1000.0,-65.4296875
-42.96875,-415.0390625,-223.14453125,-11.23046875
483.88671875,884.765625,989.74609375,3.41796875
307.6171875,999.51171875,999.51171875,-28.3203125
-314.94140625,173.828125,-104.00390625,-77.1484375
-601.5625,-1000.0,-1000.0,-62.01171875
-101.5625,-478.515625,-317.3828125,-0.48828125
459.9609375,877.9296875,938.96484375,23.4375
338.8671875,999.51171875,999.51171875,-20.5078125
-262.20703125,176.7578125,72.75390625,-71.2890625
-617.67578125,-1000.0,-1000.0,-63.4765625
-220.21484375,-890.13671875,-548.33984375,-27.83203125
397.4609375,431.15234375,800.29296875,-19.04296875
394.04296875,999.51171875,999.51171875,-49.31640625
-200.68359375,156.73828125,144.53125,-84.47265625
-599.609375,-1000.0,-1000.0,-63.96484375
-283.69140625,-984.86328125,-770.99609375,-7.32421875
337.890625,270.5078125,572.265625,20.01953125
452.63671875,999.51171875,999.51171875,-5.859375
-113.76953125,173.828125,155.76171875,-56.15234375
-605.95703125,-1000.0,-1000.0,-66.40625
-373.046875,-1000.0,-995.60546875,-27.34375
275.87890625,-93.26171875,220.703125,21.97265625
478.02734375,999.51171875,999.51171875,8.30078125
-38.57421875,408.203125,213.37890625,-47.36328125
-576.66015625,-916.50390625,-1000.0,-74.70703125
-428.22265625,-1000.0,-1000.0,-44.921875
219.23828125,-155.2734375,-12.6953125,-7.32421875
486.81640625,994.62890625,999.51171875,-29.296875
72.75390625,999.51171875,444.82421875,-69.3359375
-488.76953125,-29.296875,-877.44140625,-75.68359375
-506.34765625,-1000.0,-1000.0,-48.828125
136.71875,-211.42578125,-157.71484375,-14.6484375
516.11328125,999.51171875,999.51171875,7.32421875
144.04296875,928.22265625,606.93359375,-20.99609375
-460.9375,-338.37890625,-750.9765625,-70.3125
-545.41015625,-1000.0,-1000.0,-74.70703125
65.4296875,-230.95703125,-207.51953125,-29.78515625
507.32421875,980.46875,999.51171875,-19.04296875
214.35546875,999.51171875,823.2421875,-67.87109375
-408.69140625,-71.77734375,-492.1875,-99.12109375
-583.49609375,-1000.0,-1000.0,-76.171875
-9.765625,-363.76953125,-204.1015625,-9.27734375
496.09375,917.48046875,999.51171875,41.015625
277.83203125,999.51171875,997.0703125,-2.44140625
-335.9375,86.9140625,-178.7109375,-49.8046875
-591.30859375,-1000.0,-1000.0,-24.4140625
-68.84765625,-275.390625,-248.046875,27.83203125
485.3515625,962.890625,966.30859375,47.36328125
338.8671875,999.51171875,999.51171875,10.25390625
-260.7421875,202.63671875,53.22265625,-41.50390625
-596.6796875,-1000.0,-1000.0,-35.15625
-155.76171875,-632.8125,-435.05859375,32.2265625
450.1953125,755.37109375,880.859375,51.26953125
389.16015625,999.51171875,999.51171875,-7.32421875
-219.7265625,185.05859375,176.26953125,-82.03125
-614.2578125,-1000.0,-1000.0,-72.265625
-244.140625,-786.1328125,-635.7421875,8.30078125
383.30078125,560.546875,728.515625,54.6875
424.8046875,999.51171875,999.51171875,31.25
-143.06640625,291.015625,166.50390625,-40.52734375
-606.4453125,-965.33203125,-1000.0,-65.91796875
-357.421875,-1000.0,-929.19921875,-16.11328125
288.0859375,20.5078125,339.35546875,40.52734375
