TP9,AF7,AF8,TP10
636.23046875,-1000.0,-1000.0,-49.8046875
872.0703125,-728.02734375,-340.8203125,-41.9921875
969.7265625,647.4609375,922.36328125,-44.921875
973.14453125,999.51171875,999.51171875,-54.6875
822.75390625,164.55078125,96.19140625,-57.6171875
649.90234375,-1000.0,-1000.0,-47.8515625
821.77734375,-950.1953125,-553.22265625,-38.57421875
975.09765625,333.0078125,792.48046875,-41.015625
956.0546875,999.51171875,999.51171875,-55.17578125
748.53515625,159.66796875,151.85546875,-62.5
545.8984375,-1000.0,-1000.0,-60.05859375
691.40625,-1000.0,-769.53125,-48.33984375
936.03515625,-14.6484375,566.40625,-45.41015625
905.76171875,999.51171875,999.51171875,-52.734375
615.234375,255.859375,162.109375,-60.05859375
426.7578125,-1000.0,-1000.0,-48.828125
539.55078125,-1000.0,-960.44921875,-47.8515625
813.4765625,61.03515625,280.2734375,-49.31640625
831.0546875,999.51171875,999.51171875,-45.41015625
547.8515625,576.171875,255.859375,-52.24609375
319.3359375,-754.8828125,-991.69921875,-48.33984375
385.7421875,-1000.0,-1000.0,-45.41015625
677.24609375,-212.890625,28.3203125,-49.8046875
741.2109375,999.51171875,999.51171875,-50.78125
499.0234375,817.3828125,416.9921875,-49.31640625
270.01953125,-520.99609375,-895.99609375,-47.8515625
289.0625,-1000.0,-1000.0,-36.62109375
579.1015625,-155.76171875,-91.796875,-32.71484375
680.17578125,965.33203125,999.51171875,-24.4140625
459.9609375,999.51171875,732.91015625,-7.8125
210.44921875,205.56640625,-586.9140625,-25.87890625
161.62109375,-1000.0,-1000.0,-30.2734375
457.51953125,-356.93359375,-185.05859375,0.48828125
586.42578125,999.51171875,999.51171875,-2.9296875
398.92578125,999.51171875,810.546875,-28.80859375
147.4609375,-200.1953125,-496.58203125,-27.34375
69.82421875,-1000.0,-1000.0,-27.83203125
356.93359375,-389.6484375,-201.66015625,-15.625
547.8515625,887.6953125,999.51171875,14.6484375
370.60546875,999.51171875,986.328125,-11.71875
99.12109375,102.5390625,-177.734375,-44.43359375
3.90625,-1000.0,-1000.0,-37.109375
220.21484375,-1000.0,-316.40625,-26.85546875
446.2890625,173.828125,944.3359375,-38.57421875
356.93359375,999.51171875,999.51171875,-53.7109375
80.56640625,163.57421875,4.8828125,-48.828125
-58.10546875,-1000.0,-1000.0,-48.33984375
173.33984375,-896.97265625,-473.14453125,-40.52734375
428.7109375,420.41015625,845.703125,-48.828125
315.91796875,999.51171875,999.51171875,-79.1015625
32.2265625,138.18359375,140.13671875,-76.171875
-125.48828125,-1000.0,-1000.0,-72.75390625
48.828125,-1000.0,-750.0,-62.98828125
355.95703125,19.53125,591.30859375,-40.52734375
327.1484375,999.51171875,999.51171875,-45.8984375
29.78515625,295.41015625,165.52734375,-59.5703125
-141.6015625,-963.37890625,-1000.0,-47.36328125
9.27734375,-1000.0,-916.9921875,-34.66796875
306.15234375,-169.43359375,352.5390625,-41.9921875
317.3828125,999.51171875,999.51171875,-42.48046875
36.62109375,454.1015625,217.7734375,-54.6875
-156.73828125,-905.76171875,-1000.0,-59.5703125
-43.45703125,-1000.0,-1000.0,-43.9453125
245.60546875,-125.48828125,134.27734375,-38.0859375
294.43359375,999.51171875,999.51171875,-40.52734375
71.77734375,999.51171875,383.7890625,-42.96875
-152.34375,-111.328125,-911.1328125,-46.38671875
-121.09375,-1000.0,-1000.0,-34.66796875
220.703125,-222.65625,-91.796875,-12.6953125
325.1953125,999.51171875,999.51171875,-10.25390625
79.58984375,717.7734375,482.91015625,-38.57421875
-172.8515625,-654.296875,-845.21484375,-44.921875
-158.203125,-1000.0,-1000.0,-23.92578125
180.6640625,-163.0859375,-184.5703125,44.43359375
319.3359375,971.19140625,999.51171875,89.84375
103.515625,999.51171875,814.453125,50.78125
-134.27734375,117.67578125,-491.2109375,13.671875
-182.12890625,-1000.0,-1000.0,28.80859375
113.28125,-457.03125,-192.3828125,83.49609375
314.94140625,898.4375,999.51171875,89.35546875
153.3203125,999.51171875,941.89453125,71.2890625
-128.41796875,38.57421875,-281.73828125,41.50390625
-233.88671875,-1000.0,-1000.0,11.71875
76.171875,-223.6328125,-223.6328125,62.5
306.640625,975.5859375,982.421875,88.37890625
145.99609375,999.51171875,999.51171875,54.19921875
-103.02734375,209.9609375,-17.08984375,4.39453125
-240.234375,-1000.0,-1000.0,-14.16015625
-20.5078125,-818.84765625,-446.77734375,26.85546875
267.578125,540.52734375,869.62890625,28.3203125
-421.38671875,999.51171875,999.51171875,-46.38671875
-1000.0,100.09765625,107.91015625,-91.796875
-976.07421875,-1000.0,-1000.0,-79.1015625
-992.1875,-1000.0,-671.38671875,-103.02734375
-1000.0,-208.984375,675.78125,-117.1875
-1000.0,999.51171875,999.51171875,-106.93359375
-1000.0,275.87890625,162.109375,-114.74609375
-1000.0,-1000.0,-1000.0,-111.81640625
-1000.0,-1000.0,-818.359375,-99.609375
-1000.0,-22.4609375,497.0703125,-100.09765625
-1000.0,999.51171875,999.51171875,-92.28515625
-1000.0,707.51953125,209.9609375,-98.6328125
-989.74609375,-632.8125,-1000.0,-102.5390625
-1000.0,-1000.0,-1000.0,-85.9375
-944.3359375,-116.2109375,184.5703125,-81.54296875
-576.66015625,999.51171875,999.51171875,-84.47265625
-337.40234375,770.99609375,281.73828125,-92.7734375
-495.60546875,-562.5,-968.26171875,-87.890625
-299.31640625,-1000.0,-1000.0,-81.54296875
117.1875,-179.6875,-76.66015625,-78.125
-138.671875,999.51171875,999.51171875,-81.0546875
-376.46484375,982.91015625,448.2421875,-91.796875
-129.39453125,-289.55078125,-879.8828125,-91.796875
302.734375,-1000.0,-1000.0,-98.6328125
790.52734375,59.08203125,-132.32421875,-95.703125
974.609375,999.51171875,999.51171875,-77.63671875
962.890625,999.51171875,713.8671875,-84.9609375
905.2734375,183.10546875,-610.83984375,-86.9140625
897.4609375,-1000.0,-1000.0,-67.3828125
974.12109375,-229.98046875,-188.96484375,-62.98828125
946.2890625,988.76953125,999.51171875,-62.01171875
999.51171875,999.51171875,919.921875,-68.84765625
785.15625,201.171875,-320.3125,-65.4296875
523.4375,-1000.0,-1000.0,-62.5
837.40234375,-433.10546875,-233.3984375,-60.05859375
983.3984375,905.76171875,991.2109375,-48.33984375
971.19140625,999.51171875,999.51171875,-54.6875
881.34765625,162.59765625,-104.98046875,-66.89453125
792.96875,-1000.0,-1000.0,-57.12890625
927.24609375,-941.89453125,-394.53125,-43.9453125
965.33203125,336.42578125,895.99609375,-45.8984375
981.93359375,999.51171875,999.51171875,-54.19921875
837.40234375,185.546875,95.703125,-58.59375
662.59765625,-1000.0,-1000.0,-48.828125
