TP9,AF7,AF8,TP10
-52.24609375,-61.5234375,-45.8984375,-83.0078125
-28.3203125,-45.8984375,-42.48046875,60.546875
-39.0625,-48.33984375,-43.9453125,42.48046875
-67.3828125,-55.6640625,-39.0625,-95.703125
-83.0078125,-58.59375,-41.9921875,-175.29296875
-65.91796875,-54.19921875,-44.921875,-100.09765625
-38.0859375,-55.6640625,-46.38671875,52.734375
-43.45703125,-58.10546875,-43.9453125,57.6171875
-76.66015625,-59.08203125,-41.50390625,-71.77734375
-96.6796875,-71.77734375,-43.9453125,-171.38671875
-76.66015625,-69.82421875,-41.9921875,-122.0703125
-46.875,-55.6640625,-46.875,34.1796875
-46.38671875,-40.52734375,-48.828125,67.87109375
-71.77734375,-41.015625,-54.6875,-58.59375
-86.9140625,-60.05859375,-49.31640625,-174.31640625
-61.5234375,-58.10546875,-34.66796875,-134.27734375
-30.76171875,-45.8984375,-41.015625,17.08984375
-29.78515625,-40.52734375,-44.43359375,68.84765625
-56.15234375,-48.828125,-46.38671875,-42.48046875
-85.44921875,-63.96484375,-49.31640625,-169.43359375
-83.0078125,-72.75390625,-45.41015625,-156.73828125
-46.875,-67.87109375,-42.48046875,-10.7421875
-27.83203125,-46.875,-40.0390625,71.77734375
-54.19921875,-47.36328125,-49.31640625,-23.4375
-87.40234375,-71.2890625,-55.6640625,-167.96875
-78.125,-71.77734375,-51.7578125,-170.8984375
-41.50390625,-54.6875,-43.9453125,-31.73828125
-20.5078125,-44.43359375,-39.0625,65.4296875
-47.8515625,-48.828125,-47.36328125,-17.08984375
-90.33203125,-54.19921875,-58.59375,-165.0390625
-80.078125,-58.59375,-55.17578125,-177.24609375
-49.31640625,-62.5,-49.31640625,-48.828125
-32.2265625,-46.875,-39.55078125,65.91796875
-46.38671875,-40.0390625,-38.57421875,12.6953125
-89.35546875,-57.12890625,-54.19921875,-139.16015625
-100.09765625,-73.2421875,-56.640625,-186.03515625
-66.89453125,-71.2890625,-46.875,-70.3125
-33.69140625,-54.6875,-38.57421875,63.96484375
-38.57421875,-56.15234375,-52.24609375,20.99609375
-76.171875,-68.84765625,-59.5703125,-131.34765625
-79.58984375,-57.12890625,-40.0390625,-180.17578125
-41.9921875,-41.50390625,-39.55078125,-69.3359375
-7.8125,-38.0859375,-44.43359375,75.1953125
-20.5078125,-45.41015625,-44.921875,51.7578125
-58.10546875,-61.5234375,-48.828125,-104.00390625
-47.8515625,-61.5234375,-44.921875,-174.31640625
-22.94921875,-52.734375,-51.26953125,-89.84375
-4.39453125,-45.41015625,-66.89453125,60.05859375
-3.90625,-37.109375,-59.08203125,70.3125
-41.9921875,-48.33984375,-42.96875,-69.82421875
-69.3359375,-59.5703125,-41.9921875,-164.0625
-50.29296875,-56.640625,-46.38671875,-94.7265625
-10.7421875,-48.33984375,-42.48046875,71.77734375
-16.6015625,-43.45703125,-34.66796875,103.515625
-51.7578125,-56.15234375,-41.9921875,-40.0390625
-66.40625,-72.75390625,-43.9453125,-156.25
-48.33984375,-71.2890625,-43.9453125,-114.74609375
-14.16015625,-51.7578125,-43.45703125,43.9453125
-27.83203125,-46.875,-47.8515625,92.28515625
-70.3125,-52.24609375,-50.78125,-33.69140625
-90.33203125,-56.15234375,-46.875,-159.66796875
-71.77734375,-58.10546875,-50.78125,-134.27734375
-34.66796875,-52.24609375,-46.875,20.01953125
-29.296875,-48.33984375,-44.921875,85.9375
-55.17578125,-48.828125,-54.19921875,-23.92578125
-82.51953125,-61.5234375,-57.6171875,-164.55078125
-72.75390625,-73.73046875,-52.24609375,-167.96875
-38.0859375,-62.5,-42.96875,-22.94921875
-32.2265625,-38.0859375,-36.1328125,71.2890625
-61.5234375,-36.62109375,-40.52734375,-16.11328125
-93.75,-56.15234375,-50.29296875,-164.0625
-84.9609375,-58.10546875,-48.33984375,-179.19921875
-50.29296875,-38.57421875,-43.45703125,-37.109375
-33.69140625,-33.203125,-39.55078125,70.80078125
-49.31640625,-44.43359375,-39.55078125,0.9765625
-80.56640625,-62.98828125,-44.921875,-137.20703125
-60.546875,-62.98828125,-62.5,-156.73828125
-35.15625,-44.43359375,-68.84765625,-43.9453125
-35.64453125,-44.921875,-53.22265625,54.19921875
-39.0625,-46.875,-47.8515625,6.8359375
