TP9,AF7,AF8,TP10
-54.6875,-63.96484375,-60.05859375,-49.8046875
-47.8515625,-106.93359375,-73.73046875,-45.41015625
-11.71875,-64.453125,-52.24609375,-32.2265625
-15.13671875,0.0,-31.25,-47.8515625
-50.78125,1.953125,-40.0390625,-66.40625
-72.265625,-47.8515625,-59.5703125,-69.82421875
-69.3359375,-88.8671875,-72.265625,-66.40625
-35.64453125,-66.40625,-55.17578125,-48.33984375
-20.01953125,-4.8828125,-37.109375,-45.41015625
-36.62109375,0.9765625,-35.15625,-51.7578125
-53.7109375,-61.03515625,-54.19921875,-50.29296875
-70.80078125,-106.4453125,-70.3125,-61.03515625
-65.4296875,-83.984375,-62.5,-62.5
-43.45703125,-16.11328125,-41.015625,-49.8046875
-52.24609375,8.7890625,-39.55078125,-53.22265625
-76.171875,-47.36328125,-58.10546875,-63.4765625
-78.61328125,-95.703125,-63.4765625,-61.03515625
-60.05859375,-75.1953125,-56.640625,-47.8515625
-43.45703125,-12.20703125,-46.38671875,-42.96875
-50.78125,17.08984375,-40.0390625,-54.6875
-77.63671875,-29.296875,-45.41015625,-64.453125
-86.9140625,-87.890625,-57.6171875,-60.05859375
-58.10546875,-85.44921875,-62.01171875,-47.8515625
-25.87890625,-26.85546875,-46.875,-35.64453125
-26.3671875,0.0,-34.66796875,-38.0859375
-51.7578125,-32.2265625,-43.9453125,-50.29296875
-68.359375,-75.1953125,-61.03515625,-55.17578125
-53.7109375,-87.890625,-60.546875,-50.29296875
-30.76171875,-31.25,-38.0859375,-41.9921875
-35.64453125,17.08984375,-32.2265625,-47.36328125
-63.4765625,-17.08984375,-46.875,-58.59375
-80.078125,-84.47265625,-63.4765625,-59.5703125
-79.58984375,-107.91015625,-66.40625,-48.828125
-55.6640625,-44.43359375,-44.43359375,-31.25
-49.31640625,4.8828125,-40.0390625,-38.57421875
-69.3359375,-19.53125,-52.24609375,-55.17578125
-77.63671875,-68.359375,-56.15234375,-53.22265625
-68.359375,-99.12109375,-55.17578125,-45.41015625
-28.80859375,-52.24609375,-36.1328125,-32.71484375
-28.80859375,2.9296875,-27.34375,-36.62109375
-53.7109375,-15.13671875,-34.66796875,-55.17578125
-62.5,-74.21875,-50.78125,-54.19921875
-55.6640625,-101.07421875,-62.01171875,-47.36328125
-20.01953125,-49.8046875,-43.45703125,-34.66796875
-15.625,14.16015625,-29.78515625,-30.2734375
-42.48046875,3.41796875,-40.52734375,-44.921875
-62.5,-60.546875,-56.640625,-52.734375
-67.3828125,-106.93359375,-62.98828125,-47.36328125
-41.015625,-66.89453125,-52.24609375,-37.59765625
-10.25390625,4.39453125,-36.1328125,-36.1328125
-24.90234375,12.20703125,-38.57421875,-46.875
-64.94140625,-47.8515625,-61.03515625,-57.6171875
-75.1953125,-97.16796875,-69.3359375,-50.78125
-54.6875,-70.3125,-51.7578125,-39.0625
-41.50390625,-5.37109375,-28.3203125,-34.1796875
-55.17578125,6.34765625,-29.296875,-41.50390625
-79.1015625,-44.921875,-51.26953125,-53.7109375
-80.078125,-96.19140625,-66.40625,-52.734375
-49.31640625,-83.49609375,-56.15234375,-36.62109375
-19.04296875,-9.27734375,-31.25,-22.94921875
-27.34375,18.06640625,-26.85546875,-33.203125
-56.640625,-40.0390625,-47.8515625,-52.734375
-61.5234375,-100.09765625,-68.359375,-56.640625
-25.87890625,-89.35546875,-60.546875,-40.52734375
8.30078125,-20.5078125,-29.78515625,-23.92578125
-4.39453125,14.6484375,-22.94921875,-34.1796875
-35.64453125,-27.83203125,-41.9921875,-51.7578125
-52.734375,-88.8671875,-58.10546875,-50.78125
-49.8046875,-96.19140625,-57.6171875,-44.43359375
-37.109375,-33.69140625,-36.62109375,-39.55078125
-46.875,9.27734375,-26.3671875,-44.921875
-64.94140625,-26.3671875,-43.9453125,-61.5234375
-78.125,-84.47265625,-64.453125,-65.4296875
-69.3359375,-99.12109375,-66.40625,-54.6875
-36.1328125,-41.9921875,-48.33984375,-42.48046875
-26.3671875,9.27734375,-31.25,-40.52734375
