TP9,AF7,AF8,TP10
-54.6875,-48.33984375,-52.24609375,-55.6640625
-62.98828125,-76.66015625,-57.6171875,-62.5
-53.22265625,-86.9140625,-48.33984375,-53.22265625
-45.8984375,-37.59765625,-40.0390625,-40.0390625
-41.015625,1.953125,-41.50390625,-36.1328125
-41.50390625,-3.41796875,-43.9453125,-43.45703125
-42.48046875,-83.49609375,-46.38671875,-49.31640625
-44.43359375,-93.26171875,-49.31640625,-50.78125
-53.7109375,-43.9453125,-54.19921875,-52.734375
-49.31640625,-26.3671875,-54.19921875,-52.24609375
-47.36328125,-34.1796875,-54.6875,-56.640625
-50.78125,-77.63671875,-54.6875,-61.5234375
-60.546875,-88.37890625,-52.734375,-54.6875
-61.5234375,-39.0625,-48.828125,-44.921875
-46.875,-10.7421875,-45.41015625,-41.9921875
-40.0390625,-27.83203125,-46.875,-43.9453125
-40.52734375,-51.7578125,-41.50390625,-45.8984375
-52.24609375,-59.08203125,-42.96875,-44.43359375
-60.05859375,-65.91796875,-48.33984375,-37.109375
-53.22265625,-55.17578125,-44.921875,-34.1796875
-49.31640625,-33.203125,-45.8984375,-40.0390625
-47.36328125,-57.6171875,-44.43359375,-44.43359375
-51.26953125,-79.1015625,-41.50390625,-52.24609375
-55.17578125,-65.4296875,-46.875,-57.12890625
-54.6875,-44.921875,-45.41015625,-52.734375
-47.8515625,-35.64453125,-40.0390625,-56.640625
-39.0625,-63.4765625,-45.8984375,-62.01171875
-43.45703125,-84.47265625,-55.17578125,-61.03515625
-47.8515625,-84.47265625,-51.26953125,-53.7109375
-41.015625,12.6953125,-47.8515625,-42.96875
-34.66796875,-2.9296875,-55.6640625,-46.38671875
-43.45703125,-104.00390625,-57.6171875,-53.7109375
-51.26953125,-101.5625,-55.6640625,-54.19921875
-51.26953125,-66.40625,-56.640625,-54.6875
-51.26953125,-10.25390625,-54.19921875,-49.8046875
-41.9921875,-13.671875,-50.29296875,-44.921875
-33.203125,-77.1484375,-49.31640625,-47.36328125
-34.1796875,-91.30859375,-48.828125,-54.19921875
-43.9453125,-45.8984375,-55.17578125,-55.17578125
-47.8515625,-33.203125,-56.15234375,-49.31640625
-49.8046875,-41.9921875,-48.828125,-44.921875
-44.921875,-2.9296875,-47.8515625,-40.52734375
-48.33984375,-82.51953125,-56.15234375,-43.9453125
-62.98828125,-130.37109375,-57.12890625,-47.36328125
