TP9,AF7,AF8,TP10
-45.8984375,-82.03125,-48.33984375,-38.0859375
-40.52734375,-48.33984375,-50.29296875,-31.73828125
-30.2734375,-23.4375,-48.33984375,-26.85546875
-30.2734375,-38.0859375,-43.9453125,-25.390625
-41.50390625,-61.5234375,-41.9921875,-34.1796875
-49.31640625,-58.10546875,-47.8515625,-41.50390625
-41.50390625,-51.7578125,-59.5703125,-33.69140625
-24.90234375,-27.34375,-52.24609375,-28.3203125
-22.94921875,-24.4140625,-40.52734375,-31.73828125
-33.69140625,-80.078125,-38.57421875,-41.015625
-42.48046875,-84.47265625,-43.45703125,-39.55078125
-44.43359375,-51.26953125,-47.8515625,-30.76171875
-34.66796875,-23.4375,-41.015625,-28.3203125
-23.92578125,-26.3671875,-36.62109375,-30.2734375
-35.64453125,-62.98828125,-43.9453125,-39.55078125
-50.29296875,-78.61328125,-48.33984375,-43.45703125
-52.24609375,-51.26953125,-48.828125,-37.59765625
-32.71484375,0.0,-50.29296875,-33.203125
-15.625,-26.3671875,-51.7578125,-35.64453125
-38.0859375,-76.171875,-50.78125,-42.48046875
-63.96484375,-72.265625,-53.7109375,-46.38671875
-66.89453125,-61.5234375,-59.5703125,-44.43359375
-51.7578125,-9.27734375,-58.10546875,-42.48046875
-42.48046875,-6.8359375,-55.17578125,-42.96875
-51.26953125,-72.265625,-65.4296875,-50.78125
-60.546875,-89.84375,-69.82421875,-56.640625
-68.359375,-74.21875,-61.5234375,-54.19921875
-56.640625,-31.25,-46.875,-42.96875
-31.25,-18.5546875,-38.57421875,-37.59765625
-27.34375,-37.109375,-40.52734375,-49.8046875
-40.52734375,-87.890625,-41.9921875,-58.10546875
-49.8046875,-87.40234375,-40.52734375,-50.78125
-42.48046875,-30.2734375,-39.0625,-44.921875
-34.1796875,-18.5546875,-38.0859375,-41.50390625
-30.76171875,-45.41015625,-40.0390625,-44.921875
-38.57421875,-75.1953125,-41.015625,-48.828125
-56.15234375,-78.125,-37.59765625,-39.55078125
-57.6171875,-31.73828125,-43.9453125,-34.1796875
-43.9453125,-13.671875,-45.8984375,-28.80859375
-41.015625,-48.33984375,-41.50390625,-26.85546875
-55.6640625,-79.1015625,-48.828125,-38.0859375
-74.70703125,-67.87109375,-50.29296875,-40.52734375
-72.75390625,-46.875,-48.828125,-39.0625
-50.78125,-45.8984375,-44.43359375,-37.109375
-38.57421875,-46.38671875,-37.59765625,-40.0390625
-45.8984375,-77.1484375,-39.55078125,-49.8046875
-56.640625,-79.1015625,-40.0390625,-47.36328125
-57.6171875,-41.015625,-42.96875,-40.0390625
-43.45703125,-13.18359375,-44.921875,-39.0625
-40.0390625,-24.90234375,-45.8984375,-43.9453125
-54.19921875,-61.5234375,-53.7109375,-51.7578125
-71.2890625,-83.49609375,-56.15234375,-60.546875
-66.40625,-46.875,-51.7578125,-53.7109375
-43.9453125,-3.41796875,-48.33984375,-43.9453125
-33.69140625,-14.6484375,-44.921875,-43.45703125
-34.66796875,-72.75390625,-45.8984375,-41.50390625
-50.29296875,-99.609375,-43.45703125,-45.41015625
-60.546875,-61.5234375,-41.015625,-36.62109375
-48.33984375,-20.01953125,-42.48046875,-25.390625
-37.109375,-16.6015625,-45.8984375,-32.2265625
-37.59765625,-55.6640625,-47.36328125,-37.59765625
-46.38671875,-80.078125,-51.26953125,-42.96875
-52.24609375,-60.05859375,-53.22265625,-43.9453125
-37.59765625,-23.92578125,-50.29296875,-42.48046875
-28.3203125,-5.37109375,-48.828125,-44.43359375
-34.66796875,-35.15625,-51.26953125,-50.29296875
-43.9453125,-87.890625,-53.22265625,-51.26953125
-52.734375,-70.3125,-47.8515625,-48.828125
-43.9453125,-22.4609375,-47.36328125,-43.9453125
-33.69140625,-31.25,-48.33984375,-43.45703125
-36.1328125,-47.36328125,-45.8984375,-53.7109375
-47.8515625,-64.453125,-47.8515625,-56.640625
-55.17578125,-64.94140625,-51.26953125,-53.22265625
-41.9921875,-14.16015625,-53.7109375,-43.9453125
-28.3203125,-2.9296875,-49.31640625,-37.109375
-34.1796875,-43.45703125,-49.31640625,-41.50390625
-47.36328125,-56.15234375,-49.8046875,-47.36328125
-59.5703125,-46.875,-46.38671875,-46.38671875
-55.6640625,-36.62109375,-50.78125,-42.48046875
-42.96875,-28.3203125,-50.78125,-44.921875
-44.921875,-34.1796875,-46.38671875,-52.24609375
-57.6171875,-56.640625,-48.828125,-59.5703125
-73.73046875,-74.21875,-52.24609375,-59.08203125
-67.3828125,-39.0625,-51.7578125,-51.26953125
-45.8984375,-18.5546875,-47.8515625,-49.8046875
-47.36328125,-46.38671875,-45.41015625,-57.6171875
-64.453125,-77.1484375,-46.38671875,-65.4296875
-65.91796875,-75.68359375,-40.0390625,-57.12890625
-62.01171875,-32.71484375,-38.57421875,-45.41015625
